Word,Meaning,Example,Checked,Column5,Column6
static,having no motion; unchanging; lacking development; showing little if any change; not active or moving,,0.0,,
stentorian,(of the voice) extremely loud; used of the voice,,0.0,,
stoic,"impassive; unmoved by joy or grief; seeming unaffected by pleasure or pain; impassive; pertaining to Stoicism or its followers, stoical",,0.0,,
stupefy,stun; make numb (as with a drug); amaze,,0.0,,
stygian,"unpleasantly dark; gloomy; hellish; deathly; Styx: the chief river in the subterranean land of the dead, hellish; dark and dismal as of the rivers Acheron and Styx in Hades",,0.0,,
stymie,"thwart; present an obstacle; stump, a thwarting and distressing situation; a situation in golf where an opponent's ball blocks the line between your ball and the hole",,0.0,,
subtle,perceptiveness; ingenuity; delicacy delicate; so slight as to be difficult to detect; able to make fine distinctions,subtle mind/differences in meaning,0.0,,
succinct,"brief, terse, compact",,0.0,,
succor,assist (someone in difficulty); aid; comfort,,0.0,,
superfluous,"excessive; overabundant; unnecessary; more than is needed, desired, or required; serving no useful purpose; having no excuse for being",,0.0,,
supine,lying on back; passive; inactive; lying face upward; offering no resistance,The defeated pugilist lay supine; supine acceptance of the decision,0.0,,
supplant,take the place of unfairly; usurp; replace,,0.0,,
surfeit,satiate; feed or supply to excess; stuff; indulge to excess in anything; the state of being more than full,,0.0,,
surreptitious,done secretly; secret; furtive; sneaky; hidden,,0.0,,
sycophant,servile flatterer; bootlicker; yes man; a person who tries to please someone in order to gain a personal advantage,,0.0,,
synthesis,combining parts or separate things into a whole; the whole so formed; the process of producing a chemical compound (usually by the union of simpler chemical compounds),,0.0,,
tacit,"understood (without actually being expressed); not put into words, indicated by necessary connotation though not expressed directly",Tacit agreement.,0.0,,
temerity,boldness; nerve; rashness; fearless daring,Temerity to ask for a pay increase after only three day's work.,0.0,,
tenacity,firmness; persistence,,0.0,,
tendentious,promoting a particular point of view; biased; having an aim; designed to further a cause; having or marked by a strong tendency especially a controversial one,tendentious rather than truth-seeking,0.0,,
tenuous,thin; slim; rare,,0.0,,
terse,concise; abrupt; pithy,,0.0,,
tirade,long angry denunciatory speech; diatribe; harangue; extended scolding; denunciation,,0.0,,
torpid,slow and apathetic; in a condition of biological rest or suspended animation,,0.0,,
torque,twisting force; force producing rotation,,0.0,,
tortuous,winding; full of curves; not straightforward; marked by repeated turns and bends,tortuous mountain road,0.0,,
tout,promote or publicize (one's goods or service); praise excessively (as a form of advertisement); advertise,,0.0,,
transient,staying for a short time; momentary; temporary; of a mental act; causing effects outside the mind; lasting a very short time,One that is transient.,0.0,,
trenchant,"cutting; incisive; keen, caustic vigorous; effective; energetic clearly or sharply defined; clear-cut; distinct",A trenchant policy of political reform.,0.0,,
truculent,defiantly aggressive,,0.0,,
turbid,(of a liquid) having the sediment disturbed; muddy; thick,,0.0,,
turpitude,depravity; baseness; a corrupt or depraved or degenerate act or practice,Moral turpitude.,0.0,,
tyro,beginner; novice,,0.0,,
ubiquitous,being everywhere; omnipresent; ubiquity,,0.0,,
unalloyed,free from admixture,,0.0,,
unctuous,oily; bland; insincerely suave,,0.0,,
unfeigned,genuine; real,,0.0,,
untenable,"(of theories, propositions, etc) incapable of being maintained, defended, or vindicated, indefensible not capable of being occupied or lived in",But officials announced in March that “unforeseen conditions” made that timeframe untenable.,0.0,,
urbane,suave; refined in manner; elegant,,0.0,,
usury,lending money at illegal high rates of interest,,0.0,,
vacillate,waver (in opinion); fluctuate; sway to and from;,,1.0,,
variegated,(esp. of a flower or leaf) many-colored,,0.0,,
veracity,truthfulness; adherence to the truth,,0.0,,
vexation,the act of troubling or annoying someone; something or someone that causes anxiety; a source of unhappiness,,0.0,,
vigilant,watchful; on the alert; watchfully awake; alert to spot danger; carefully observant or attentive; on the lookout for possible danger,,0.0,,
vilify,slander; speak evil of; spread negative information about,,0.0,,
virulent,"(of a disease or poison) extremely harmful or poisonous; (of a feeling) hostile; bitter; virus; venom, infectious; having the ability to cause disease; harsh or corrosive in tone, caustic",,0.0,,
viscous,(of a liquid) thick and sticky; gluey; viscid; consistency,,0.0,,
vitiate,spoil the effect of; make inoperative; corrupt morally,,0.0,,
vituperate,speak or write in an extremely negative way about someone,"Just as vituperation consists of negative, explosive, malicious outbursts, to vituperate is to communicate in this way.",0.0,,
volatile,changeable; of a quickly changing nature (as of temper); mercurial; tending to violence; evaporating rapidly,Volatile character/situation in the street.,0.0,,
voluble,fluent; talkative; glib; marked by a ready flow of speech,,0.0,,
voracious,"ravenous; devouring or craving food in great quantities; insatiable; excessively eager, greedy and grasping",voracious animal/reader,0.0,,
wag,begin and continue (a war) causing to move repeatedly from side to side; a witty amusing person who makes jokes,,0.0,,
waver,"move or swing back and forth be uncertain or unsteady in decision or movement to flicker or quiver, as light become unsteady; begin to fail or give way to shake or tremble, as the hands or voice someone who communicates by waving",Wavering between accepting and refusing. A distant beam wavered and then disappeared. When she heard the news her courage wavered. Her voice wavered.,0.0,,
wizened,"shriveled; withered; lean and wrinkled by shrinkage as from age or illness, dry up",Wizened apple/old lady.,0.0,,
zealous,marked by active interest and enthusiasm,,0.0,,
face the music,"meet one's punishment, accept the consequences","When he got caught stealing the money from the bank, he realized that soon he would have to face the music.",0.0,,
vicious circle,"The fatter I get, the unhappier I am, so I eat to cheer myself up, which makes me fatter yet",,0.0,,
drink like a fish,drink heavily,,0.0,,
sell someone short,Underestimate oneself,Don't sell yourself short!,0.0,,
bite one's tongue,to stop oneself from saying something one really wants to say (usually something offensive or impolite),I had to bite my tongue in order not to tell him that he won the raffle.,0.0,,
burn a hole in one's pocket,to feel you must spend money very quickly (usually right after you have received it),The bonus he received must have burnt a hole in his pocket. He ended up buying a car the next day.,0.0,,
have a lot on one's plate,to be busy; to be doing a lot,,0.0,,
lose one's train of thought,to slip one's mind,,0.0,,
low-key,"quiet, calm","Their wedding was a very quiet, low-key affair.",0.0,,
on the tip of one's tongue,a thought or idea about to be said or almost remembered; on the verge of saying but unable to remember,,0.0,,
the thought/word escapes me,I cannot remember the word or idea,,0.0,,
up in the air,uncertain; undecided,My vacation plans are still up in the air.,0.0,,
be in charge of something,be responsible for something,He is in charge of marketing.,0.0,,
every other,every second one,She washes her hair every other day.,0.0,,
just my luck!,Bad luck! Hard luck!,They lost my job application. Just my luck!,0.0,,
make friends,become friends,Ann makes new friends easily.,0.0,,
on hand,readily available. needing to be dealt with.,Do you have a calculator on hand?? They had many urgent and pressing matters on hand,0.0,,
on second thought,after thinking again,"I'd like to sit on the aisle. On second thought, I'd like a window seat.",0.0,,
that will do,it's enough,Stop reading. That will do for now.,0.0,,
ad lib,"improvise, interpolate",The actor forgot his lines and ad libbed,0.0,,
apple of discord,subject of envy or quarrel,This question is an apple of discord in our family.,0.0,,
backseat driver,a passenger who tells you how to drive,His wife is a backseat driver always telling him how to drive.,0.0,,
be all in,be extremely tired,"I'm all in, I'd better go to bed now.",0.0,,
be beside oneself,"be very upset, nervous, worried",She was beside herself with worry / with grief.,0.0,,
be better off,be in a better situation (financially),He'll be better off with a new job.,0.0,,
be cut out to be someone; be cut out for it,have the ability to do something,He is cut out to be a leader. She isn't cut out to be a surgeon. She isn't cut out for it,0.0,,
be out of sorts,be in bad temper,"Leave him alone, he's out of sorts today.",0.0,,
"be pressed for time, for money","not to have enough time, money",I'm pressed for time now. We are pressed for money at the moment.,0.0,,
be touch and go,risky; dangerous; uncertain of the result,"He was very sick, and for some time it was touch and go, but he is better now.",0.0,,
be up and around / about,able to be out of bed after an illness,"He was sick for a month, but now he is up and around",0.0,,
be up to one's ears in something,be very busy,I'm up to my ears in work,0.0,,
bite the bullet,accept painful but necessary action,Sometimes you just have to bite the bullet and to do what's necessary to do.,0.0,,
blow it,an expression of anger to fail to take advantage of an opportunity,"Oh, blow it! I've forgotten to invite her to the party. He understood that he blew it.",0.0,,
bottom line,main result; main factor,"The bottom line is, I don't have enough money. The bottom line was that the XYZ Company isn't for sale.""",0.0,,
bring home the bacon,earn the living for the family,He works very hard at several places to bring home the bacon,0.0,,
by all means,"definitely, certainly",Do you need my help? - By all means.,0.0,,
